2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Player Name,Period Name,Activity Name,Period Name2,Total Duration,Total Distance,HSR,Acceleration B1-3 Total Efforts (Gen 2),Maximum Velocity,Tackles Total (Band1-Band3)
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Joaquin Briozzo,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,2539.3,86.41,12,5.97,29
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Carlos Augusto Cabano,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,2534.16,74.14,10,6.11,28
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Eliseo Chiavassa,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,2528.02,141.68,17,6.85,43
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Matias Cordero,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,2639.56,63.21,20,6.81,13
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Juan Pedro Cordero,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,2768.53,41.9,15,5.92,38
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Mateo Fernandez A.,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,3096.18,225.08,24,7.59,3
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Tomas Fernandez A.,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,3654.16,293.57,37,7.59,13
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Bautista Gatti,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,2479.2,37.04,18,5.92,22
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Ignacio Guichón,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:13:47,1023.11,68.59,6,6.76,2
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Ivan Korenblit,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:11:36,825.94,14.24,10,5.57,14
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Alfonso Lopez F.,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,3273.81,291.34,23,7.88,8
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Manuel Puertas,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:03:09,160.23,0.0,1,4.72,7
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Pedro Rodriguez A.,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:09:40,768.51,102.43,12,6.54,4
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Hipólito San Sebastián,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,2749.61,191.32,27,6.75,27
2025_05_10_1437-PARTIDO_VS_BACRC_1RONDA.csv,Joaquin Tuculet,SEGUNDO TIEMPO,PARTIDO VS BACRC 1°RONDA,SEGUNDO TIEMPO,00:43:46,3305.23,95.49,25,6.57,10
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Marcos Albina,Session,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,3558.82,236.02,29,7.42,34
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Adriel Armenti,Session,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,2326.04,52.03,12,5.68,26
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Felipe Bares,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:55:34,5964.73,75.94,34,6.04,45
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Thiago Bassagaisteguy,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:55:34,7867.38,658.26,83,8.26,35
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ramiro Berardi,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:07:52,3380.92,47.43,14,7.11,39
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Joaquin Briozzo,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:07:52,3371.71,42.46,16,6.31,43
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Carlos Augusto Cabano,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:55:34,5955.58,105.73,33,6.4,54
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Eliseo Chiavassa,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:55:34,6656.81,218.49,41,6.46,70
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Matias Cordero,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:07:52,4001.16,79.56,42,6.06,12
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Mateo Fernandez A.,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:55:34,8082.07,461.33,66,7.99,12
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Tomas Fernandez A.,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:55:34,9202.82,734.94,93,7.82,37
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Bautista Gatti,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:07:52,3175.38,62.9,17,7.11,31
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ignacio Guichón,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:55:34,8008.6,580.75,70,8.89,24
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ivan Korenblit,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:08:09,2663.68,102.92,28,6.04,24
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Juan Ignacio Lago,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:07:52,2647.71,71.99,21,6.36,24
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Martin Leiva,Session,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,2784.68,48.73,14,6.64,20
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Alfonso Lopez F.,Session,PARTIDO VS LPRC 1°RONDA,1er tiempo,00:47:24,3760.62,302.34,33,7.46,4
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Manuel Puertas,Session,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,2218.04,51.41,13,6.41,22
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Pedro Rodriguez A.,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:07:52,4228.86,180.6,55,6.31,37
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Andres Rubio Garmendia,Session,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,1002.56,57.43,9,6.96,0
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Hipólito San Sebastián,Session,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,01:55:34,6898.53,328.0,60,7.05,79
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Bautista Santamarina,Session,PARTIDO VS LPRC 1°RONDA,SEGUNDO TIEMPO,00:47:42,1851.43,83.11,24,8.17,6
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Felipe Bares,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,626.42,0.0,4,4.42,2
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Thiago Bassagaisteguy,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,1085.0,45.12,14,6.84,5
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ramiro Berardi,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,806.39,14.07,5,5.86,2
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Joaquin Briozzo,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,764.53,0.0,5,4.45,4
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Carlos Augusto Cabano,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,848.39,3.9,5,5.09,4
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Eliseo Chiavassa,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,839.02,6.08,7,5.7,4
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Matias Cordero,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,1037.65,5.74,17,5.27,1
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Mateo Fernandez A.,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,1091.1,6.97,10,5.29,1
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Tomas Fernandez A.,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,966.64,48.3,16,6.25,4
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Bautista Gatti,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,470.82,7.09,3,5.43,1
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ignacio Guichón,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,1123.38,71.55,15,6.78,3
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ivan Korenblit,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,549.67,0.0,10,4.89,3
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Juan Ignacio Lago,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,837.83,21.64,7,6.02,6
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Pedro Rodriguez A.,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,1128.5,59.19,20,5.42,11
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Hipólito San Sebastián,ENTRADA EN CALOR,PARTIDO VS LPRC 1°RONDA,ENTRADA EN CALOR,00:20:27,852.31,38.66,9,6.84,4
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Felipe Bares,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,2551.18,51.97,17,6.04,16
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Thiago Bassagaisteguy,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,3312.52,375.43,38,8.26,15
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Ramiro Berardi,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,2574.53,33.36,9,7.11,37
2025_05_24_1456-PARTIDO_VS_LPRC_1RONDA.csv,Joaquin Briozzo,PRIMER TIEMPO,PARTIDO VS LPRC 1°RONDA,PRIMER TIEMPO,00:47:24,2607.18,42.46,11,6.31,39
